N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2020;entrées 2019;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
253164;LE PRE BOURGES;AUVERGNE / RHONE-ALPES;RUE DU HUIT MAI;15120;Mauriac;3671;15;15105;Mauriac;4502;06-autres communes et unités urbaines;1;256;28;267;5 156;112 126;-1,0;De 5 à 10 000 entrées;LE PRE BOURGES;SNC SAGEC - CINE 32 VEO;OUI;E;;FIXE;NON;C;92;71;0;62,0;30,3;4,3;3,3;45;33,2;32,0;45.216795;2.333982
253313;SALLE DES FETES;OCCITANIE;SALLE DES FETES;66107;Maury;802;66;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;260;25;135;4 952;8 867;-0,4;De 2 à 5 000 entrées;CINEMAGINAIRE;CINEMAGINAIRE;OUI;E;;ITINERANT;NON;R;55;35;7;43,7;49,8;4,9;1,6;20;21,2;12,6;42.814211;2.600537
253442;CINEMAUV;OCCITANIE;PLACE DU FOIRAL;32249;Mauvezin;2149;32;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;92;19;76;1 354;61 485;-1,0;Moins de 2000 entrées;FOYER RURAL JEUNES EDUCATION POPULAIRE;SNC SAGEC - CINE 32 VEO;OUI;E;JP;FIXE;NON;R;66;61;5;45,7;23,9;26,8;3,6;30;70,8;70,3;43.731827;0.878411
253763;VOX;PAYS DE LA LOIRE;16 PLACE JUHEL;53147;Mayenne;13016;53;53301;Mayenne;15119;06-autres communes et unités urbaines;3;374;31;2 430;30 656;74 777;-0,6;De 30 à 40 000 entrées;SOCIETE BOURZEIX;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;OUI;E;RDJPPR;FIXE;NON;C;216;133;70;64,7;19,8;11,8;3,8;119;36,0;44,7;48.302362;-0.620404
254005;CINEMA APOLLO;OCCITANIE;PLACE DU MARECHAL LECLERC;81163;Mazamet;10063;81;81401;Mazamet;24994;05-Unités urbaines de 20 000 à 100 000 hbts;2;485;30;1 099;11 583;360 263;-1,0;De 10 à 20 000 entrées;ACTION CINEMATOGRAPHIQUE DU TARN;SNC SAGEC - CINE 32 VEO;OUI;D;;FIXE;NON;C;139;103;23;37,7;48,3;12,9;1,1;81;32,2;43,5;43.493101;2.374957
254173;CINEMAZ;OCCITANIE;RUE DE L' HOTEL DE VILLE;09185;Mazères;3826;09;09104;Mazères;3826;06-autres communes et unités urbaines;1;182;18;67;514;500 267;-1,0;Moins de 2000 entrées;LES TOILES DU REX;;NON;NON;;FIXE;NON;I;36;27;0;48,0;34,9;10,0;7,0;9;40,1;45,2;43.250817;1.677678
254781;UGC MAJESTIC;ILE-DE-FRANCE;11 PLACE HENRI IV;77284;Meaux;53720;77;77501;Meaux;74463;03-Petite couronne;7;1129;11;2 626;46 225;989 339;-1,0;De 40 à 50 000 entrées;SOCIETE DU CINEMA MAJESTIC  MEAUX;UGC DIFFUSION;NON;NON;;FIXE;NON;C;108;38;28;56,5;26,9;13,7;2,9;65;39,8;34,4;48.95945;2.882959
255072;PANORAMIC;AUVERGNE / RHONE-ALPES;90 ROUTE CRET DU MIDI;74173;Megève;3210;74;00462;Sallanches;44281;05-Unités urbaines de 20 000 à 100 000 hbts;1;315;19;236;4 155;57 810;-0,9;De 2 à 5 000 entrées;FORUM INTERNATIONAL;;NON;NON;;FIXE;NON;B;61;46;31;42,4;50,8;4,7;2,1;12;15,6;8,7;45.861574;6.626043
255421;SALLE COMMUNALE;AUVERGNE / RHONE-ALPES;SALLE COMMUNALE;01241;Meillonnas;1316;01;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;100;19;94;3 090;15 057;-0,8;De 2 à 5 000 entrées;CINE ITINERANT RURAL BRESSE REVERMONT;;NON;NON;;ITINERANT;NON;R;7;4;0;61,6;29,2;5,9;3,4;2;36,2;36,3;46.245266;5.347704
255911;LE MELIES;NOUVELLE AQUITAINE;PLACE BUJAULT;79174;Melle;3607;79;79203;Melle;5471;06-autres communes et unités urbaines;2;434;29;537;12 240;11 533;0,1;De 10 à 20 000 entrées;CINEMEL;SNC SAGEC - CINE 32 VEO;OUI;E;RDJPPR;FIXE;NON;C;122;84;1;53,5;34,5;7,9;4,1;84;35,9;31,3;46.222661;-0.144659
255991;VARIETES;ILE-DE-FRANCE;20 BD CHAMBLAIN;77288;Melun;39914;77;00851;Paris;10706072;03-Petite couronne;3;566;31;1 664;14 922;15 533;0,0;De 10 à 20 000 entrées;VARIETES CINEMA;SARL GPCI;OUI;C;JPPR;FIXE;NON;B;159;119;53;69,6;22,0;4,8;3,5;74;40,1;43,4;48.533449;2.6548
256211;TRIANON;OCCITANIE;BD LUCIEN ARNAULT;48095;Mende;11641;48;48301;Mende;11641;06-autres communes et unités urbaines;3;402;28;1 233;18 185;893 673;-1,0;De 10 à 20 000 entrées;SOCIETE ANONYME IMMOBILIERE D'ECONOMIE MIXTE MENDE FONTANILLES;;OUI;E;RDJP;FIXE;NON;I;115;83;24;62,0;23,6;14,2;0,2;54;37,5;32,8;44.519155;3.499538
256983;CINEMA CONFLUENCES MENNECY;ILE-DE-FRANCE;ZAC MONTVRAIN II;91386;Mennecy;13959;91;00851;Paris;10706072;03-Petite couronne;3;324;28;2 010;25 461;22 125;0,2;De 20 à 30 000 entrées;CINEMA CONFLUENCES MENNECY;;NON;NON;;FIXE;NON;B;98;78;52;47,8;41,5;9,6;1,1;30;36,8;36,2;48.564849;2.441479
257302;EDEN;PROVENCE-ALPES-COTE D'AZUR;11 RUE DE LA REPUBLIQUE;06083;Menton;28231;06;06501;Menton - Monaco (partie française);68326;05-Unités urbaines de 20 000 à 100 000 hbts;3;377;29;2 367;22 686;35 979;-0,4;De 20 à 30 000 entrées;LES CINEMAS DE SAINT RAPHAEL (EX LIDO RIALTO CINEMA ST RAPHAEL);;NON;NON;;FIXE;NON;C;112;84;48;57,4;13,3;19,2;10,1;41;64,1;71,6;43.775396;7.50197
257772;LE STUDIO;BRETAGNE;CHEMIN DES DAMES;22147;Merdrignac;2937;22;22103;Merdrignac;2937;06-autres communes et unités urbaines;1;142;31;177;2 509;109 976;-1,0;De 2 à 5 000 entrées;SOCIETE DU PATRONAGE SAINT MICHEL;SAS CINE DIFFUSION;NON;NON;;FIXE;NON;I;86;64;0;59,9;35,8;3,6;0,7;27;21,4;17,3;48.19242;-2.416156
258161;MERIGNAC CINE;NOUVELLE AQUITAINE;PLACE CHARLES DE GAULLE;33281;Mérignac;70127;33;33701;Bordeaux;904359;04-Unités urbaines de 100 000 hbts ou plus;4;1041;31;3 550;65 682;4 844;12,6;De 50 à 80 000 entrées;IPEC;;OUI;C;;FIXE;NON;B;143;77;51;58,2;27,9;10,0;4,0;48;37,3;41,7;44.842142;-0.647041
258652;GERARD PHILIPE;HAUTS DE FRANCE;RUE PAUL DOUMER;80533;Mers-les-Bains;2840;80;00453;Eu;20095;05-Unités urbaines de 20 000 à 100 000 hbts;1;214;30;786;19 006;29 682;-0,4;De 10 à 20 000 entrées;RD DIFFUSION;SARL CINEODE;NON;NON;;FIXE;NON;B;96;79;47;50,2;32,2;15,4;2,2;39;26,6;41,1;50.066803;1.384364
258732;DOMINO;HAUTS DE FRANCE;RUE FRANÇOIS TRUFFAUT;60395;Méru;14703;60;60302;Méru;14703;06-autres communes et unités urbaines;2;237;30;1 468;8 200;150 877;-0,9;De 5 à 10 000 entrées;ASSOCIATION MERU CINEMA;;OUI;E;RDJPPR;FIXE;NON;I;141;109;28;43,9;50,8;3,1;2,2;52;34,3;44,7;49.234352;2.134691
258812;ESPACE CULTUREL ROBERT HOSSEIN;HAUTS DE FRANCE;19, RUE DU PONT DE PIERRE;59400;Merville;9967;59;00752;Béthune;355543;04-Unités urbaines de 100 000 hbts ou plus;1;305;26;316;9 312;122 058;-0,9;De 5 à 10 000 entrées;COMMUNE DE MERVILLE;;OUI;C;;FIXE;NON;B;99;80;2;64,4;28,9;5,0;1,8;31;48,3;47,0;50.641083;2.637315
258952;LA LUCIOLE;ILE-DE-FRANCE;1 ROUTE DE PONTOISE;95394;Méry-sur-Oise;9531;95;00851;Paris;10706072;03-Petite couronne;1;228;23;182;2 377;193 058;-1,0;De 2 à 5 000 entrées;COMMUNE DE MERY SUR OISE;SARL GPCI;NON;NON;;FIXE;NON;B;69;57;0;55,7;32,0;6,4;5,9;22;47,5;54,1;49.060326;2.170288
259022;FAMILY FUN PARK;NOUVELLE AQUITAINE;49 ROUTE DE SEMUSSAC;17230;Meschers-sur-Gironde;3087;17;17402;Royan;35729;05-Unités urbaines de 20 000 à 100 000 hbts;1;133;30;509;3 516;79 829;-1,0;De 2 à 5 000 entrées;FAMILY FUN BOWLING;SNC SAGEC - CINE 32 VEO;OUI;D;;FIXE;NON;B;132;98;5;62,6;24,5;10,1;2,8;66;42,3;37,0;45.564042;-0.95352
260602;CINEMA LE MONT D'OR;BOURGOGNE / FRANCHE-COMTE;16 RUE DU VILLAGE;25380;Métabief;1179;25;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;2;212;27;649;6 012;119 756;-0,9;De 5 à 10 000 entrées;CINEMA OLYMPIA;SARL MC4 DISTRIBUTION;OUI;E;JP;FIXE;NON;R;100;83;16;65,9;24,5;5,4;4,2;34;31,8;32,7;46.773516;6.350469
260731;KLUB;GRAND EST;5/7 RUE FABERT;57463;Metz;117492;57;57701;Metz;285268;04-Unités urbaines de 100 000 hbts ou plus;7;972;31;6 114;66 974;20 506;2,3;De 50 à 80 000 entrées;REX CINEMA DE METZ;KINEPOLIS;OUI;A;RDJPPR;FIXE;NON;C;253;163;150;63,9;18,9;10,4;6,8;197;45,5;42,8;49.118892;6.175464
260903;CENTRE D ART ET DE CULTURE;ILE-DE-FRANCE;15 BOULEVARD DES NATIONS-UNIES;92048;Meudon;45317;92;00851;Paris;10706072;02-Grande Couronne;1;458;23;211;9 295;212 592;-1,0;De 5 à 10 000 entrées;VILLE DE MEUDON;;OUI;C;;FIXE;NON;B;100;61;0;53,5;29,0;14,8;2,7;65;55,5;61,1;48.81334;2.235774
260904;ESPACE CULTUREL ROBERT-DOISNEAU;ILE-DE-FRANCE;16 AV DE LATTRE DE TASSIGNY;92048;Meudon;45317;92;00851;Paris;10706072;02-Grande Couronne;1;268;24;186;4 399;685;5,4;De 2 à 5 000 entrées;VILLE DE MEUDON;;NON;NON;;FIXE;NON;B;69;45;0;57,3;29,6;11,0;2,1;31;38,8;33,9;48.7873;2.23254
261032;LA FABRIQUE;CENTRE-VAL DE LOIRE;5 RUE DES MAUVES;45203;Meung-sur-Loire;6267;45;45209;Meung-sur-Loire;9217;06-autres communes et unités urbaines;1;143;16;42;1 873;63 355;-1,0;Moins de 2000 entrées;ASSOCIATION CINE MEUNG;;NON;NON;;FIXE;NON;C;35;16;0;69,5;16,5;4,1;9,9;18;26,6;16,7;47.826282;1.696401
261273;CINEMA L HORLOGE;AUVERGNE / RHONE-ALPES;1 PLACE LIEUTENANT GIRAUD;01244;Meximieux;7655;01;01206;Meximieux;10144;06-autres communes et unités urbaines;1;166;29;496;13 187;92 817;-0,9;De 10 à 20 000 entrées;ASSOCIATION CINEMA L HORLOGE;SARL MC4 DISTRIBUTION;OUI;E;JPPR;FIXE;NON;C;134;92;1;88,2;9,2;2,4;0,3;64;37,3;28,5;45.90391;5.192869
261351;LE SOUBISE;NOUVELLE AQUITAINE;13 BD DU PRE SOUBISE;19136;Meymac;2455;19;19101;Meymac;2455;06-autres communes et unités urbaines;1;244;29;166;2 149;34 590;-0,9;De 2 à 5 000 entrées;OFFICE DU TOURISME DE MEYMAC;SNC SAGEC - CINE 32 VEO;OUI;E;;FIXE;NON;I;126;97;0;64,6;26,1;6,1;3,2;68;45,7;49,2;45.532714;2.146857
261581;CINEMA LE RABELAIS;AUVERGNE / RHONE-ALPES;21 ROUTE DE FRANGY;74010;Annecy;125694;74;74601;Annecy;168098;04-Unités urbaines de 100 000 hbts ou plus;1;287;27;322;8 375;188 548;-1,0;De 5 à 10 000 entrées;CINE L'ARLEQUIN;;OUI;C;;FIXE;NON;C;93;62;2;64,3;18,3;7,3;10,2;47;62,5;66,1;45.916394;6.090209
261603;CINE-MEYZIEU;AUVERGNE / RHONE-ALPES;27 RUE LOUIS SAULNIER;69282;Meyzieu;32863;69;00758;Lyon;1639558;04-Unités urbaines de 100 000 hbts ou plus;3;408;31;1 360;15 475;842 670;-1,0;De 10 à 20 000 entrées;FELICINE;SNC SAGEC - CINE 32 VEO ;OUI;C;JP;FIXE;NON;B;118;98;41;71,5;20,6;7,0;0,9;47;37,6;46,1;45.765107;5.00317
261623;LE TAURUS;OCCITANIE;RUE DE LA MEDITERRANEE;34157;Mèze;11537;34;34301;Mèze;11537;06-autres communes et unités urbaines;1;144;25;266;7 008;115 636;-0,9;De 5 à 10 000 entrées;CENTRE COMMUNAL POUR LA PROMOTION CULTURELLE;;OUI;E;JP;FIXE;NON;I;95;68;6;56,1;34,5;7,2;2,2;50;38,6;30,5;43.421612;3.601996
261730;MEGA CGR;BRETAGNE;CAP MALO - BORDURE D27 & RN 137;35177;La Mézière;4644;35;35127;La Mézière;4644;06-autres communes et unités urbaines;12;2475;31;12 146;168 321;192 299;-0,1;De 150 à 200 000 entrées;MONNEZIERES;SARL LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;OUI;I;153;108;105;68,8;12,5;18,7;0,0;28;78,7;71,0;48.202673;-1.730539
262461;SALLE DES FETES;AUVERGNE / RHONE-ALPES;RUE DAME PERNETTE;01247;Mijoux;336;01;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;200;8;54;1 089;16 542;-0,9;Moins de 2000 entrées;MODERNE CINEMA;;NON;NON;;ITINERANT;NON;R;16;12;6;65,2;23,8;6,7;4,3;1;40,5;36,9;46.36675;5.996859
262622;LES CINEMAS DE MILLAU;OCCITANIE;15 RUE DE LA CONDAMINE;12145;Millau;22234;12;12401;Millau;23837;05-Unités urbaines de 20 000 à 100 000 hbts;4;581;30;2 840;26 208;44 554;-0,4;De 20 à 30 000 entrées;LES LUMIERES DE LA VILLE;SARL CINEODE;OUI;D;RDJP;FIXE;NON;C;173;137;94;80,6;14,3;4,2;0,9;80;23,0;27,9;44.100489;3.076198
